id,name,description,image,category
P.101,Đường cấm,Cấm tất cả các loại phương tiện đi lại theo cả hai hướng (ngoại trừ các xe ưu tiên),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Vietnam_road_sign_P101.svg/1024px-Vietnam_road_sign_P101.svg.png,1
P.102,Cấm đi ngược chiều,Cấm tất các các loại phương tiện đi vào theo chiều đặt biển (ngoại trừ các xe ưu tiên),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Vietnam_road_sign_P102.svg/1024px-Vietnam_road_sign_P102.svg.png,1
P.103a,Cấm xe ô tô,"Cấm tất cả các loại xe cơ giới, kể cả xe ba bánh có thùng đi qua, ngoại trừ xe gắn máy, xe máy hai bánh và các xe ưu tiên)",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Vietnam_road_sign_P103a.svg/1024px-Vietnam_road_sign_P103a.svg.png,1
P.103c,Cấm xe ô tô rẽ trái,"Cấm tất cả các loại xe cơ giới, kể cả xe ba bánh có thùng rẽ trái, ngoại trừ xe gắn máy, xe máy hai bánh và các xe ưu tiên",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Vietnam_road_sign_P103c.svg/1024px-Vietnam_road_sign_P103c.svg.png,1
P.103b,Cấm xe ô tô rẽ phải,"Cấm tất cả các loại xe cơ giới, kể cả xe ba bánh có thùng rẽ phải, ngoại trừ xe gắn máy, xe máy hai bánh và các xe ưu tiên",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Vietnam_road_sign_P103b.svg/1024px-Vietnam_road_sign_P103b.svg.png,1
P.104,Cấm xe mô tô,"Cấm tất cả xe mô tô đi vào, ngoại trừ các loại xe được ưu tiên",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Vietnam_road_sign_P104.svg/1024px-Vietnam_road_sign_P104.svg.png,1
P.105,Cấm xe ô tô và xe mô tô,"Cấm tất cả các loại xe ô tô và xe máy đi qua, ngoại trừ các loại xe gắn máy và xe được ưu tiên",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Vietnam_road_sign_P105.svg/1024px-Vietnam_road_sign_P105.svg.png,1
P.106a,Cấm xe ô tô tải,"Cấm tất cả các loại ôtô tải có tải trọng từ 1,5 tấn trở lên, kể cả máy kéo và các xe máy chuyên dùng. Không áp dụng với xe ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Vietnam_road_sign_P106a.svg/1024px-Vietnam_road_sign_P106a.svg.png,1
P.106b,Cấm xe ô tô tải ,"Cấm tất cả các loại ôtô tải có tổng trọng lượng vượt quá chỉ số ghi trên biển, kể cả máy kéo và các xe máy chuyên dùng",https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Vietnam_road_sign_P106b.svg/1024px-Vietnam_road_sign_P106b.svg.png,1
P.106c,Cấm các xe chở hàng nguy hiểm,Cấm các phương tiện chở hàng nguy hiểm đi qua,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Vietnam_road_sign_P106c.svg/1024px-Vietnam_road_sign_P106c.svg.png,1
P.107,Cấm xe ô tô khách và xe ô tô tải,"Cấm các loại xe tải và ô tô chở khách, xe máy thi công chuyên dùng và các loại máy kéo đi vào. Không áp dụng với xe ưu tiên",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Vietnam_road_sign_P107.svg/1024px-Vietnam_road_sign_P107.svg.png,1
P.107a,Cấm xe ô tô khách,"Cấm xe ô tô chở khách đi vào, ngoại trừ các xe ưu tiên.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Vietnam_road_sign_P107a.svg/1024px-Vietnam_road_sign_P107a.svg.png,1
P.107b,Cấm xe ô tô taxi,Cấm xe ô tô chở khách đi vào,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Vietnam_road_sign_P107b.svg/1024px-Vietnam_road_sign_P107b.svg.png,1
